date_of_record,month,season,station_name,state,district,avg_temp,min_temp,max_temp,wind_speed,air_pressure,elevation,latitude,longitude,rainfall
2019-01-01,January,Winter,Srinagar,JK,Srinagar,2.1,-4.2,12.9,5.2,1025.9,1585,34.0833,74.8333,
2019-01-02,January,Winter,Srinagar,JK,Srinagar,2.5,0.0,10.4,6.9,1025.3,1585,34.0833,74.8333,0.0
2019-01-03,January,Winter,Srinagar,JK,Srinagar,2.7,-0.1,11.4,6.0,1028.3,1585,34.0833,74.8333,0.0
2019-01-04,January,Winter,Srinagar,JK,Srinagar,0.4,-3.2,9.3,6.8,1027.9,1585,34.0833,74.8333,
2019-01-05,January,Winter,Srinagar,JK,Srinagar,1.7,-1.3,7.9,8.5,1024.3,1585,34.0833,74.8333,24.9
2019-01-06,January,Winter,Srinagar,JK,Srinagar,1.4,-1.2,8.8,5.7,1025.4,1585,34.0833,74.8333,2.0
2019-01-07,January,Winter,Srinagar,JK,Srinagar,0.8,-4.0,9.6,5.0,1028.2,1585,34.0833,74.8333,0.0
2019-01-08,January,Winter,Srinagar,JK,Srinagar,1.2,-2.0,9.4,5.1,1025.9,1585,34.0833,74.8333,0.0
2019-01-09,January,Winter,Srinagar,JK,Srinagar,2.2,-3.0,10.8,6.1,1024.7,1585,34.0833,74.8333,0.0
2019-01-10,January,Winter,Srinagar,JK,Srinagar,1.6,-0.3,9.4,6.0,1024.7,1585,34.0833,74.8333,0.0
2019-01-11,January,Winter,Srinagar,JK,Srinagar,1.9,-1.0,9.4,7.0,1024.9,1585,34.0833,74.8333,6.1
2019-01-12,January,Winter,Srinagar,JK,Srinagar,1.6,-0.8,7.6,8.1,1024.0,1585,34.0833,74.8333,0.3
2019-01-13,January,Winter,Srinagar,JK,Srinagar,2.4,0.0,9.0,7.4,1026.2,1585,34.0833,74.8333,5.1
2019-01-14,January,Winter,Srinagar,JK,Srinagar,-0.1,-6.4,9.7,6.6,1029.9,1585,34.0833,74.8333,0.0
2019-01-15,January,Winter,Srinagar,JK,Srinagar,0.2,-5.8,10.6,6.2,1028.2,1585,34.0833,74.8333,
2019-01-16,January,Winter,Srinagar,JK,Srinagar,0.2,-2.1,9.8,6.6,1024.9,1585,34.0833,74.8333,
2019-01-17,January,Winter,Srinagar,JK,Srinagar,1.5,-1.3,11.3,6.4,1025.9,1585,34.0833,74.8333,
2019-01-18,January,Winter,Srinagar,JK,Srinagar,1.4,-0.7,9.9,6.3,1027.8,1585,34.0833,74.8333,
2019-01-19,January,Winter,Srinagar,JK,Srinagar,0.9,-2.0,10.2,6.9,1027.5,1585,34.0833,74.8333,4.1
2019-01-20,January,Winter,Srinagar,JK,Srinagar,2.3,-0.3,10.4,8.6,1024.0,1585,34.0833,74.8333,2.0
2019-01-21,January,Winter,Srinagar,JK,Srinagar,1.8,-0.3,8.8,10.1,1018.9,1585,34.0833,74.8333,7.9
2019-01-22,January,Winter,Srinagar,JK,Srinagar,1.8,-0.2,8.0,9.4,1016.0,1585,34.0833,74.8333,14.0
2019-01-23,January,Winter,Srinagar,JK,Srinagar,2.1,-0.3,9.6,7.5,1022.1,1585,34.0833,74.8333,2.0
2019-01-24,January,Winter,Srinagar,JK,Srinagar,1.5,-1.5,9.7,6.2,1026.4,1585,34.0833,74.8333,0.0
2019-01-25,January,Winter,Srinagar,JK,Srinagar,1.2,-1.3,8.6,6.2,1025.9,1585,34.0833,74.8333,4.1
2019-01-26,January,Winter,Srinagar,JK,Srinagar,1.4,-1.8,8.6,6.3,1028.7,1585,34.0833,74.8333,0.0
2019-01-27,January,Winter,Srinagar,JK,Srinagar,2.0,-1.4,9.0,7.2,1029.7,1585,34.0833,74.8333,
2019-01-28,January,Winter,Srinagar,JK,Srinagar,1.3,-3.5,9.2,7.0,1030.6,1585,34.0833,74.8333,
2019-01-29,January,Winter,Srinagar,JK,Srinagar,1.5,-5.4,9.2,5.7,1029.0,1585,34.0833,74.8333,
2019-01-30,January,Winter,Srinagar,JK,Srinagar,1.6,-0.3,6.2,5.7,1026.3,1585,34.0833,74.8333,
2019-01-31,January,Winter,Srinagar,JK,Srinagar,0.9,-0.3,7.9,8.2,1024.0,1585,34.0833,74.8333,3.0
2019-02-01,February,Winter,Srinagar,JK,Srinagar,2.6,-0.5,8.0,5.8,1024.3,1585,34.0833,74.8333,13.0
2019-02-02,February,Winter,Srinagar,JK,Srinagar,3.8,-0.4,12.0,4.0,1025.6,1585,34.0833,74.8333,0.0
2019-02-03,February,Winter,Srinagar,JK,Srinagar,4.2,0.7,13.1,5.1,1027.1,1585,34.0833,74.8333,
2019-02-04,February,Winter,Srinagar,JK,Srinagar,2.6,-2.4,12.6,5.3,1028.2,1585,34.0833,74.8333,
2019-02-05,February,Winter,Srinagar,JK,Srinagar,4.5,0.2,12.6,6.8,1023.1,1585,34.0833,74.8333,
2019-02-06,February,Winter,Srinagar,JK,Srinagar,1.4,1.5,10.6,8.1,1017.1,1585,34.0833,74.8333,
2019-02-07,February,Winter,Srinagar,JK,Srinagar,0.9,-0.5,8.3,10.0,1014.3,1585,34.0833,74.8333,
2019-02-08,February,Winter,Srinagar,JK,Srinagar,2.3,-1.0,10.4,7.0,1019.7,1585,34.0833,74.8333,
2019-02-09,February,Winter,Srinagar,JK,Srinagar,1.8,-5.7,11.7,5.0,1025.6,1585,34.0833,74.8333,
2019-02-10,February,Winter,Srinagar,JK,Srinagar,2.9,-3.4,12.3,5.9,1026.2,1585,34.0833,74.8333,
2019-02-11,February,Winter,Srinagar,JK,Srinagar,4.9,-0.4,12.9,4.9,1026.5,1585,34.0833,74.8333,
2019-02-12,February,Winter,Srinagar,JK,Srinagar,3.1,-1.0,13.7,6.0,1028.1,1585,34.0833,74.8333,
2019-02-13,February,Winter,Srinagar,JK,Srinagar,2.6,-0.1,13.0,7.8,1027.6,1585,34.0833,74.8333,6.1
2019-02-14,February,Winter,Srinagar,JK,Srinagar,2.7,1.0,10.6,7.4,1020.3,1585,34.0833,74.8333,2.0
